x,y,z,u_0,v_0,w_0,density,Neighbours
0.031196993,0.02097185,-0.11721664,0.0016056310594080698,-0.0009662323603834212,0.0008162447045029814,1056.0451551297476,11.0
0.027939098,0.010096149,-0.12316092,-0.003670571962582543,0.003750975772056091,0.004183633653900907,1056.0599949734449,14.0
0.028500017,0.004418086,-0.12481,0.0020224878476652135,-0.0005248734254090938,0.003341739899036396,1056.0404826826946,11.0
0.022216855,0.017885009,-0.12832759,-0.0016617326636378788,-0.001226440235935658,0.0007677092852813829,1056.0616982248953,12.0
0.028683463,0.007115496,-0.12372318,-0.005064324474319643,0.0008412953919349352,0.005595538970213902,1056.062721655628,10.0
0.025040921,0.022556389,-0.12370916,-0.00040073310911476184,0.000873144680671921,0.0027187269360751855,1056.059815693026,11.0
0.03212072,0.011606185,-0.11846638,0.0010200897582757589,0.0022982380031543615,0.002408579458987278,1056.0567777172039,10.0
0.029610995,0.022744205,-0.11868258,-0.0008247315192038624,-0.0022005549626008636,0.0037678708243861904,1056.0671437710891,12.0
0.032545071,0.015792366,-0.11624487,0.004229597706747443,0.0022112775376356983,0.00014515768391496538,1056.0596627922064,10.0
0.019547844,0.020577673,-0.12998174,-0.0014636673388695603,-0.001845516476541314,-0.0013218126153623022,1056.0777580352744,10.0
0.027105138,0.006580611,-0.12586075,-0.004214162973847617,-0.0006142834136513438,0.005610544507847033,1056.0576308960947,12.0
0.025883848,0.008866226,-0.12643671,-0.0046232046722878,0.0031558565726185982,0.004986327480525299,1056.0542661877182,10.0
0.024431834,0.011766241,-0.12700468,-0.00034750807411226917,0.005909619547535469,0.0016798907412886293,1056.05841438379,13.0
0.02239809,0.010950253,-0.129853,-0.0014053932104406196,0.0026106016867916797,0.002716039382885072,1056.0551532026145,10.0
0.021212291,0.011931566,-0.13069519,0.00023592822135854886,0.0019408498976329607,0.0019743090495610645,1056.0569485908363,12.0
0.019376457,0.017216789,-0.13144094,-0.0023605356871450036,-0.0013587393703401271,0.0017475246328667185,1056.0576894495523,12.0
0.027988575,0.016512554,-0.12146726,0.0020523930390995105,0.004740702066473575,-0.0010926731540880173,1056.0552590197012,10.0
0.025539221,0.014362774,-0.12519577,0.0006675035235336611,0.005938380082176715,-0.000672780205734003,1056.0590209121615,13.0
0.033938646,0.017041119,-0.11479933,0.0023004235589395056,-0.0001764357396275855,0.0008364977348462747,1056.0599733033025,13.0
0.033371393,0.017070273,-0.11584865,0.001680479760200299,0.0009270290683198526,0.0008345274347513127,1056.061040080945,14.0
0.031142386,0.006768574,-0.12115423,-0.0014222917050817651,0.0001897997102953486,0.002130540352835098,1056.0705142395163,12.0
0.030458894,0.005626069,-0.12158211,-0.00026262933183428716,9.316803104493824e-05,0.0024070532229478595,1056.0704116813813,14.0
0.024132857,0.01892231,-0.12580593,-0.0008993133012422022,-0.0004673078069156423,0.00030266889023803273,1056.059185178777,11.0
